Contador    P0    P1
0	-2.22   -2.22
404	17.01	-0.15
405	17.01	-0.15
406	17.01	-0.15
407	17.18	-0.15
408	17.18	-0.15
409	17.18	-0.15
410	17.18	-0.15
411	17.18	-0.15
412	17.18	-0.15
413	17.09	-0.15
414	17.09	-0.15
415	17.09	-0.15
416	17.08	-0.15
417	17.08	-0.15
418	17.08	-0.15
419	17.14	-0.15
420	17.14	-0.15
421	17.14	-0.15
422	17.15	-0.15
423	17.15	-0.15
424	17.15	-0.15
425	17.14	-0.15
426	17.14	-0.15
427	17.14	-0.15
428	17.04	-0.15
429	17.04	-0.15
430	17.04	-0.15
431	17.13	-0.15
432	17.13	-0.15
433	17.13	-0.15
434	17.16	-0.15
435	17.16	-0.15
436	17.16	-0.15
437	17.09	-0.15
438	17.09	-0.15
439	17.09	-0.15
440	16.91	-0.15
441	16.91	-0.15
442	16.91	-0.15
443	17.12	-0.15
444	17.12	-0.15
445	17.12	-0.15
446	17.26	-0.15
447	17.26	-0.15
448	17.26	-0.15
449	17.11	-0.15
450	17.11	-0.15
451	17.11	-0.15
452	17.05	-0.15
453	17.05	-0.15
454	17.05	-0.15
455	17.13	-0.15
456	17.13	-0.15
457	17.13	-0.15
458	17.08	-0.15
459	17.08	-0.15
460	17.08	-0.15
461	17.08	-0.15
462	17.08	-0.15
463	17.08	-0.15
464	17.19	-0.15
465	17.19	-0.15
466	17.19	-0.15
467	17.17	-0.15
468	17.17	-0.15
469	17.17	-0.15
470	17.31	-0.15
471	17.31	-0.15
472	17.31	-0.15
473	17.26	-0.15
474	17.26	-0.15
475	17.26	-0.15
476	17.24	-0.15
477	17.24	-0.15
478	17.24	-0.15
479	17.20	-0.15
480	17.20	-0.15
481	17.20	-0.15
482	17.29	-0.15
483	17.29	-0.15
484	17.29	-0.15
485	17.29	-0.15
486	17.29	-0.15
487	17.29	-0.15
488	17.21	-0.15
489	17.21	-0.15
490	17.21	-0.15
491	17.12	-0.15
492	17.12	-0.15
493	17.12	-0.15
494	17.20	-0.15
495	17.20	-0.15
496	17.20	-0.15
497	17.21	-0.15
498	17.21	-0.15
499	17.21	-0.15
500	17.17	-0.15
501	17.17	-0.15
502	17.17	-0.15
503	17.15	-0.15
504	17.15	-0.15
505	17.15	-0.15
506	17.16	-0.15
507	17.16	-0.16
508	17.16	-0.16
509	17.20	-0.16
510	17.20	-0.16
511	17.20	-0.16
512	17.14	-0.16
513	17.14	-0.15
514	17.14	-0.15
515	17.03	-0.15
516	17.03	-0.16
517	17.03	-0.16
518	17.14	-0.16
519	17.14	-0.16
520	17.14	-0.16
521	17.14	-0.16
522	17.14	-0.15
523	17.14	-0.15
524	17.19	-0.15
525	17.19	-0.15
526	17.19	-0.15
527	17.20	-0.15
528	17.20	-0.16
529	17.20	-0.16
530	17.11	-0.16
531	17.11	-0.15
532	17.11	-0.15
533	17.14	-0.15
534	17.14	-0.15
535	17.14	-0.15
536	17.21	-0.15
537	17.21	-0.16
538	17.21	-0.16
539	17.09	-0.16
540	17.09	-0.16
541	17.09	-0.16
542	17.12	-0.16
543	17.12	-0.16
544	17.12	-0.16
545	17.27	-0.16
546	17.27	-0.16
547	17.27	-0.16
548	17.20	-0.16
549	17.20	-0.15
550	17.20	-0.15
551	17.06	-0.15
552	17.06	-0.16
553	17.06	-0.16
554	17.09	-0.16
555	17.09	-0.16
556	17.09	-0.16
557	17.24	-0.16
558	17.24	-0.16
559	17.24	-0.16
560	17.21	-0.16
561	17.21	-0.15
562	17.21	-0.15
563	17.10	-0.15
564	17.10	-0.16
565	17.10	-0.16
566	17.06	-0.16
567	17.06	-0.16
568	17.06	-0.16
569	17.15	-0.16
570	17.15	-0.16
571	17.15	-0.16
572	17.17	-0.16
573	17.17	-0.16
574	17.17	-0.16
575	17.21	-0.16
576	17.21	-0.16
577	17.21	-0.16
578	17.18	-0.16
579	17.18	-0.16
580	17.18	-0.16
581	17.19	-0.16
582	17.19	-0.16
583	17.19	-0.16
584	17.27	-0.16
585	17.27	-0.16
586	17.27	-0.16
587	17.26	-0.16
588	17.26	-0.16
589	17.26	-0.16
590	17.22	-0.16
591	17.22	-0.16
592	17.22	-0.16
593	17.27	-0.16
594	17.27	-0.16
595	17.27	-0.16
596	17.34	-0.16
597	17.34	-0.16
598	17.34	-0.16
599	17.22	-0.16
600	17.22	-0.16
601	17.22	-0.16
602	17.20	-0.16
603	17.20	-0.16
604	17.20	-0.16
605	17.20	-0.16
606	17.20	-0.16
607	17.20	-0.16
608	17.17	-0.16
609	17.17	-0.15
610	17.17	-0.15
611	17.34	-0.15
612	17.34	-0.16
613	17.34	-0.16
614	17.30	-0.16
615	17.30	-0.16
616	17.30	-0.16
617	17.21	-0.16
618	17.21	-0.16
619	17.21	-0.16
620	17.28	-0.16
621	17.28	-0.16
622	17.28	-0.16
