Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
23.155	14.57	24.20	-0.01	7.61
23.244	17.38	27.01	0.08	7.71
23.334	24.61	34.24	-0.08	7.55
23.424	30.17	39.80	0.06	7.69
23.514	31.78	41.41	-0.03	7.60
23.604	26.65	36.28	-0.01	7.62
23.694	21.78	31.41	0.08	7.71
23.784	22.75	32.38	-0.08	7.55
23.874	24.50	34.13	0.06	7.69
23.964	24.11	33.74	-0.03	7.60
24.054	23.41	33.04	-0.00	7.62
24.144	21.50	31.13	0.08	7.71
24.234	19.29	28.92	-0.08	7.55
24.324	16.82	26.44	0.06	7.69
24.414	14.51	24.14	-0.03	7.60
24.504	18.81	28.43	-0.00	7.63
24.594	25.92	35.55	0.07	7.70
24.684	30.82	40.44	-0.08	7.55
24.774	31.27	40.90	0.06	7.69
24.864	25.62	35.25	-0.03	7.59
24.954	21.38	31.01	0.01	7.63
25.044	23.39	33.02	0.07	7.70
25.133	24.56	34.19	-0.08	7.55
25.223	23.98	33.61	0.07	7.70
25.313	23.26	32.89	-0.03	7.60
25.403	21.26	30.89	0.01	7.63
25.493	18.83	28.46	0.07	7.70
25.583	16.32	25.95	-0.08	7.55
25.673	14.45	24.08	0.07	7.70
25.763	20.11	29.74	-0.04	7.59
25.853	27.28	36.91	0.01	7.64
25.943	31.65	41.28	0.07	7.69
26.033	30.76	40.38	-0.08	7.55
26.123	24.66	34.29	0.07	7.69
26.213	21.38	31.01	-0.03	7.59
26.303	23.85	33.48	0.01	7.64
26.393	24.57	34.20	0.06	7.69
26.483	23.74	33.37	-0.08	7.55
26.573	22.83	32.46	0.07	7.69
26.676	20.37	29.99	0.07	7.70
26.773	17.85	27.48	0.07	7.70
26.863	15.16	24.79	-0.04	7.59
26.953	16.24	25.87	0.02	7.64
27.042	23.23	32.86	0.06	7.69
27.132	29.47	39.10	-0.08	7.55
27.222	32.17	41.80	0.07	7.70
27.312	28.33	37.96	-0.03	7.59
27.423	21.76	31.39	0.08	7.70
27.517	22.96	32.59	-0.07	7.55
27.612	24.48	34.11	-0.04	7.59
27.702	24.06	33.69	0.02	7.65
27.792	23.39	33.02	0.05	7.68
27.882	21.37	31.00	-0.08	7.55
27.972	19.05	28.68	0.07	7.70
28.062	16.69	26.32	-0.04	7.59
28.152	14.59	24.22	0.02	7.64
28.242	19.71	29.34	0.05	7.68
28.332	26.82	36.45	-0.08	7.55
28.422	31.27	40.90	0.07	7.70
28.512	30.84	40.47	-0.04	7.59
28.602	24.92	34.55	0.02	7.65
28.692	21.41	31.04	0.05	7.68
28.782	23.67	33.30	-0.08	7.55
28.872	24.54	34.17	0.08	7.71
28.961	23.84	33.47	-0.04	7.59
29.051	23.06	32.69	0.02	7.65
29.141	20.94	30.57	0.05	7.67
29.231	18.68	28.31	-0.08	7.55
29.321	16.07	25.70	0.07	7.70
29.411	14.83	24.46	-0.04	7.58
29.501	21.00	30.63	0.02	7.65
29.591	27.69	37.32	0.04	7.67
29.681	31.84	41.47	-0.08	7.55
29.771	30.11	39.73	0.07	7.70
29.861	24.02	33.65	-0.05	7.58
29.951	21.60	31.23	0.03	7.65
30.041	24.07	33.70	0.05	7.67
30.131	24.52	34.15	-0.08	7.55
30.221	23.74	33.37	0.07	7.70
30.311	22.77	32.40	-0.05	7.58
30.401	20.44	30.07	0.02	7.65
30.491	18.21	27.84	0.04	7.67
30.581	15.64	25.27	-0.08	7.55
30.671	15.63	25.25	0.08	7.70
30.760	22.44	32.07	-0.04	7.58
30.850	28.92	38.55	0.03	7.65
30.940	32.18	41.81	0.04	7.67
